sent,word,freq,category
0,tenemos,7049,C_capability
0,antes,6277,C_capability
0,edad,1215,D_decoding
0,cuatro,2058,C_capability
0,actualmente,1460,C_capability
0,solían,68,C_capability
0,ratones,58,C_capability
0,agregó,39,C_capability
1,causada,90,C_capability
1,día,6420,C_capability
1,ébola,69,C_capability
1,adecuado,682,C_capability
1,disminuir,187,C_capability
1,aun,796,C_capability
1,sea,6619,C_capability
1,pareciera,56,C_capability
1,enfermedad,943,C_capability
1,cierta,707,C_capability
1,demostrado,722,C_capability
1,existente,325,C_capability
1,ciencia,1029,C_capability
1,vacuna,97,C_capability
1,existe,2550,C_capability
1,fármaco,44,C_capability
1,algún,1842,C_capability
1,tratar,1217,D_decoding
1,capaz,983,D_decoding
1,hoy,7123,C_capability
2,categorías,379,D_decoding
2,protagonizado,7,C_capability
2,nominado,7,C_capability
2,fue,8552,C_capability
2,tyan,0,A_data_gap
2,filme,21,C_capability
3,desarrollo,7339,D_decoding
3,raquis,0,A_data_gap
3,resultado,2472,C_capability
3,bárbulas,0,A_data_gap
3,llegaron,208,C_capability
3,plumaje,3,A_data_gap
3,desarrollado,460,C_capability
3,plumas,50,C_capability
3,denominado,137,C_capability
3,sea,6619,C_capability
3,eje,193,C_capability
3,dado,2316,D_decoding
3,sí,5985,C_capability
3,bien,9507,C_capability
3,tiene,11825,D_decoding
3,presenta,578,C_capability
3,otros,7798,C_capability
3,conclusión,696,D_decoding
3,evolutivo,35,C_capability
3,rasgos,119,C_capability
3,probable,883,C_capability
3,posterior,361,C_capability
3,investigadores,381,D_decoding
3,cerdas,9,C_capability
4,mordió,6,C_capability
4,asaltaron,5,C_capability
4,matrimonio,416,C_capability
4,detuvo,67,C_capability
4,policía,1033,C_capability
4,tíbet,149,C_capability
4,rabia,62,C_capability
5,estudio,1399,C_capability
5,grupo,5218,C_capability
5,irak,324,C_capability
5,elevó,28,C_capability
5,hoy,7123,C_capability
5,informe,9532,C_capability
6,tanta,373,C_capability
6,pedro,146,C_capability
6,concentró,16,C_capability
6,pudieron,190,C_capability
6,fue,8552,D_decoding
6,san,1046,D_decoding
6,gente,5345,C_capability
6,plaza,314,C_capability
6,funeral,56,C_capability
7,expansión,326,D_decoding
7,comercial,1074,C_capability
7,asiático,185,C_capability
7,derrotas,9,C_capability
7,mandato,628,C_capability
7,sobre,29652,D_decoding
7,semana,1775,D_decoding
7,medio,4945,C_capability
7,luego,3490,D_decoding
7,discurso,551,C_capability
7,continente,679,C_capability
7,elecciones,1526,C_capability
7,dio,883,C_capability
7,audiencia,367,C_capability
8,nombrada,21,C_capability
8,denominó,18,C_capability
8,día,6420,C_capability
8,diez,1097,C_capability
8,huracanes,55,C_capability
8,hoy,7123,C_capability
8,originó,39,C_capability
8,tormenta,151,C_capability
8,temporada,273,C_capability
9,materias,333,D_decoding
9,igual,1941,C_capability
9,afectan,381,C_capability
9,entre,14402,C_capability
9,llegaron,208,C_capability
9,hace,8109,C_capability
9,conclusión,696,D_decoding
9,sí,5985,C_capability
9,expertos,821,C_capability
9,regular,363,D_decoding
9,oscuras,55,C_capability
10,individuos,392,C_capability
10,particular,2969,C_capability
10,enfermos,145,C_capability
10,infectados,29,D_decoding
10,total,1599,D_decoding
10,xdr,0,A_data_gap
10,6000,27,C_capability
