sent,word,freq,category
0,old,3483,D_decoding
0,diabetic,20,D_decoding
0,added,828,C_capability
0,mice,56,C_capability
0,month,1148,C_capability
0,non,2144,C_capability
0,used,4519,C_capability
1,experimental,102,C_capability
1,now,17371,D_decoding
1,clearly,2038,C_capability
1,drugs,752,C_capability
1,existing,1128,C_capability
1,up,16943,C_capability
1,appears,557,C_capability
1,until,2531,C_capability
1,able,4910,C_capability
1,while,5168,C_capability
1,infection,172,C_capability
2,ryan,26,C_capability
2,movie,361,C_capability
2,received,1002,C_capability
2,nominations,18,C_capability
2,featuring,83,C_capability
2,categories,347,D_decoding
3,shaft,33,C_capability
3,rachis,0,A_data_gap
3,feathers,33,C_capability
3,inferred,14,C_capability
3,barbules,0,A_data_gap
3,called,3594,C_capability
3,barbs,4,A_data_gap
3,because,15500,C_capability
3,evolutionary,88,C_capability
4,arrested,246,D_decoding
4,tibet,162,C_capability
4,attacked,141,C_capability
4,robbed,58,C_capability
4,rabid,3,A_data_gap
5,iraq,919,D_decoding
5,presented,960,C_capability
6,st,344,C_capability
6,access,3010,D_decoding
6,possible,4824,D_decoding
6,everybody,866,C_capability
6,peter,213,D_decoding
6,large,2984,C_capability
6,gain,538,C_capability
6,square,527,D_decoding
6,present,2549,C_capability
7,trade,3732,C_capability
7,losses,312,C_capability
7,midterm,21,C_capability
7,about,22598,C_capability
7,after,7499,C_capability
7,told,1975,C_capability
7,election,935,C_capability
7,week,1574,D_decoding
7,audience,446,D_decoding
8,formed,262,C_capability
8,today,7152,C_capability
8,hurricane,90,C_capability
8,atlantic,324,C_capability
8,tenth,69,C_capability
8,ocean,527,D_decoding
9,conclude,524,D_decoding
9,matter,3471,D_decoding
9,scientists,625,C_capability
9,able,4910,D_decoding
10,particular,3657,C_capability
10,percentage,296,C_capability
10,tuberculosis,91,D_decoding
10,moment,2058,D_decoding
10,seems,1690,D_decoding
10,entire,1316,C_capability
10,low,2038,C_capability
10,however,5621,C_capability
10,south,1834,D_decoding
10,still,5937,C_capability
10,330,15,C_capability
10,infected,139,D_decoding
10,000,3004,D_decoding
10,people,18510,D_decoding
10,group,5004,C_capability
11,about,22598,C_capability
11,said,7609,D_decoding
12,including,3475,C_capability
12,100,1413,D_decoding
12,engraving,14,C_capability
12,engaged,377,C_capability
12,prime,975,C_capability
12,work,9653,D_decoding
12,recent,2202,C_capability
12,examples,579,D_decoding
12,ministerial,115,C_capability
12,bills,124,C_capability
12,many,9797,D_decoding
12,countries,11345,C_capability
12,front,1254,C_capability
12,portraits,35,C_capability
13,encouragement,89,C_capability
13,due,1537,C_capability
13,female,474,C_capability
13,necessity,187,D_decoding
13,male,369,D_decoding
13,medication,120,C_capability
13,urging,61,C_capability
13,multitude,50,C_capability
13,came,2431,C_capability
13,sent,1108,C_capability
13,contraception,24,C_capability
13,individuals,724,C_capability
14,requirement,341,C_capability
14,meet,1664,C_capability
14,agency,880,D_decoding
14,issued,362,D_decoding
14,quake,13,C_capability
14,warning,327,C_capability
14,geophysics,2,A_data_gap
15,outbreak,110,C_capability
15,spokesman,30,D_decoding
15,sans,14,C_capability
15,frontiere,0,A_data_gap
15,worst,496,C_capability
15,said,7609,D_decoding
15,medecines,0,A_data_gap
15,situation,3983,D_decoding
15,remains,1079,C_capability
15,bad,1636,C_capability
16,located,820,C_capability
16,fairly,290,C_capability
16,often,2742,C_capability
16,astrogeology,0,A_data_gap
16,ground,1011,D_decoding
16,maintain,847,C_capability
16,large,2984,C_capability
16,temperature,506,D_decoding
16,team,1118,C_capability
16,united,4644,C_capability
16,northern,571,C_capability
16,usgs,0,A_data_gap
16,earth,1277,C_capability
16,states,12374,D_decoding
16,holes,144,C_capability
16,constant,378,C_capability
16,steady,123,C_capability
16,behavior,576,C_capability
16,thermal,119,C_capability
17,featured,97,D_decoding
17,show,2916,C_capability
17,amateur,40,C_capability
17,east,1503,C_capability
17,voice,902,C_capability
17,local,2094,C_capability
18,united,4644,C_capability
18,received,1002,C_capability
18,immediate,532,C_capability
18,earthquake,179,C_capability
18,states,12374,D_decoding
18,reports,1099,D_decoding
19,negative,739,C_capability
19,aired,16,C_capability
19,tough,379,C_capability
19,advertisements,41,C_capability
19,behalf,2216,C_capability
20,fifteenth,12,C_capability
20,finished,350,C_capability
20,velasquez,0,A_data_gap
20,ninth,44,C_capability
20,standing,634,D_decoding
20,sitting,996,C_capability
21,before,6067,C_capability
21,several,1841,C_capability
21,various,1905,C_capability
21,simon,73,C_capability
21,simpsons,9,C_capability
21,worked,1017,C_capability
22,worst,496,D_decoding
22,month,1148,C_capability
22,saw,1431,C_capability
22,air,1990,D_decoding
22,heading,199,C_capability
22,board,928,D_decoding
22,disaster,514,D_decoding
22,armenia,89,D_decoding
22,last,6207,C_capability
22,years,9968,D_decoding
23,followed,644,C_capability
23,chhappan,0,A_data_gap
23,accompanying,85,C_capability
23,esented,0,A_data_gap
23,started,1963,C_capability
23,bhog,0,A_data_gap
23,evening,756,C_capability
23,well,12499,D_decoding
24,news,1229,C_capability
24,sings,38,C_capability
24,quite,2588,C_capability
24,conference,1373,C_capability
24,transcript,17,C_capability
24,cute,110,C_capability
25,railway,216,C_capability
25,roads,270,C_capability
26,people,18510,C_capability
26,way,10833,C_capability
27,races,65,C_capability
27,competed,17,C_capability
